Data	Model	Specs	Qubits	Params	Epochs	Tr_Med_R2	Tr_Med_MSE	Tr_Med_MAE	Ts_Med_R2	Ts_Med_MSE	Ts_Med_MAE
2_sins	parallel	q5 bl1 al1	5	60	60	0.79914505	0.00962767	0.08365477	0.71001818	0.00903607	0.07812687
2_sins	parallel	q5 bl3 al3	5	120	60	0.84598069	0.00738268	0.07509472	0.69570821	0.00948198	0.0903297
2_sins	parallel	q5 bl5 al5	5	180	60	0.7472801	0.01211374	0.09449422	0.6869546	0.00975475	0.07851452
2_sins	parallel	q5 bl7 al7	5	240	60	0.83966954	0.00768519	0.07718223	0.66966904	0.01029339	0.08978938
