Data	Model	Specs	Qubits	Params	Epochs	Tr_Med_R2	Tr_Med_MSE	Tr_Med_MAE	Ts_Med_R2	Ts_Med_MSE	Ts_Med_MAE
2_sins	serial	q1 l3	1	12	60	-0.04954844	0.05030849	0.19820798	-0.13202064	0.0352747	0.14599848
2_sins	serial	q1 l9	1	30	60	0.77678898	0.01069928	0.08771963	0.51659842	0.01506319	0.10159219
2_sins	serial	q1 l15	1	48	60	0.9616499	0.00183825	0.03649006	0.75138174	0.00774715	0.07490136
2_sins	serial	q1 l21	1	66	60	0.99659238	0.00016334	0.00951056	0.91924667	0.00251634	0.03366345
2_sins	serial	q1 l27	1	84	60	0.99770003	0.00011025	0.00862058	0.91065248	0.00278414	0.03765205
