Data	Model	Specs	Qubits	Params	Epochs	Tr_Med_R2	Tr_Med_MSE	Tr_Med_MAE	Ts_Med_R2	Ts_Med_MSE	Ts_Med_MAE
2_sins_sw	sliding	q1 xl3 il5	1	92	60	0.23162651	0.03026169	0.14678802	0.15603865	0.02951546	0.14825399
2_sins_sw	sliding	q2 xl2 il3	2	81	60	0.78479234	0.00847576	0.07711893	0.76969167	0.00805446	0.07199927
2_sins_sw	sliding	q3 xl2 il2	3	88	60	0.87190802	0.00504479	0.06183702	0.85039617	0.00523202	0.05899922
2_sins_sw	sliding	q4 xl1 il2	4	71	60	0.88393075	0.00457128	0.05789003	0.86679598	0.00465848	0.05596302
2_sins_sw	sliding	q4 xl2 il2	4	119	60	0.88659848	0.00446622	0.05659547	0.87228078	0.00446666	0.05580726
2_sins_sw	sliding	q4 xl3 il2	4	167	60	0.88895907	0.00437325	0.0564346	0.87345059	0.00442575	0.05451919
