Data	Model	Specs	Qubits	Params	Epochs	Tr_Med_R2	Tr_Med_MSE	Tr_Med_MAE	Ts_Med_R2	Ts_Med_MSE	Ts_Med_MAE
2_sins	xparallel	q1 bl27 al0	1	84	60	0.99308411	0.0003315	0.01371205	0.94406927	0.00174285	0.0318361
2_sins	xparallel	q3 bl7 al1	3	81	60	0.99803538	9.417e-05	0.00769511	0.98226948	0.0005525	0.0162642
2_sins	xparallel	q5 bl3 al1	5	75	60	0.96142218	0.00184917	0.03698543	0.90427599	0.00298284	0.04708612
2_sins	xparallel	q7 bl2 al1	7	84	60	0.85413056	0.00699203	0.06946777	0.72355734	0.00861418	0.0774349
2_sins	xparallel	q9 bl1 al1	9	81	60	0.67957708	0.01535898	0.10406492	0.58970226	0.01278522	0.09647619
